neighborhood,sqft_living,sqft_lot,bedrooms,bathrooms,floors,has_basement,basement_sqft,garage_cars,has_pool,year_built,house_age_years,renovated,condition_score,quality_grade,school_rating,crime_rate_per_1000,dist_city_center_km,dist_school_km,dist_hospital_km,property_tax_rate_pct,hoa_monthly_usd,market_trend,price_usd
Suburbs,4763,5978,7,4,1.0,0,0,1,1,1957,67,0,4,3,4.5,2.57,6.34,3.78,4.37,1.246,0,Rising,921800
Downtown,3740,5324,5,3,2.0,1,600,2,0,1967,57,0,6,4,6.5,2.06,2.79,2.93,6.34,1.228,194,Stable,926900
Downtown,3836,5433,6,3,1.0,1,1413,2,0,1984,40,0,8,3,6.0,1.24,0.61,0.29,3.11,1.308,301,Rising,892800
Downtown,2952,3705,4,2,1.5,1,528,2,0,1975,49,0,7,5,6.0,4.23,2.51,2.32,6.12,1.105,509,Stable,626000
Rural,2532,5082,3,2,2.0,1,449,1,0,1987,37,0,7,2,3.1,6.04,34.4,14.34,24.72,1.206,0,Stable,530100
Rural,3321,8037,6,3,1.0,1,1461,3,1,2015,9,0,8,2,3.5,7.77,57.5,15.0,30.0,0.96,0,Declining,734300
Rural,964,2433,1,1,1.0,0,0,3,0,1975,49,0,8,3,3.7,4.55,39.17,15.0,24.16,1.14,0,Rising,308100
Industrial,2990,4450,4,3,2.0,1,826,2,0,2006,18,0,9,2,1.9,6.26,21.0,10.05,16.91,0.955,0,Rising,555400
Suburbs,1546,9447,2,1,2.0,1,632,1,0,1974,50,1,9,4,5.1,3.21,19.35,8.49,14.29,1.335,0,Rising,530900
Suburbs,1977,2361,3,2,3.0,1,473,1,0,1979,45,0,8,3,4.5,5.65,16.93,6.91,10.26,1.18,106,Rising,573600
Industrial,2039,6802,3,1,1.0,0,0,2,0,1956,68,0,5,1,2.6,7.92,16.78,6.91,14.74,1.163,0,Stable,399800
Suburbs,3780,10877,5,3,1.0,0,0,1,0,1976,48,0,6,4,5.3,1.73,7.07,3.13,6.61,1.143,0,Declining,805800
Industrial,940,3550,2,1,1.0,0,0,3,0,1960,64,0,5,2,1.3,6.52,8.96,5.38,6.88,0.864,0,Rising,286100
Downtown,3589,9191,6,4,1.5,1,823,2,0,1957,67,1,6,5,4.9,4.07,1.55,1.47,3.51,1.255,540,Rising,892900
Industrial,982,6854,1,1,2.0,0,0,2,1,1960,64,0,5,1,1.9,8.42,22.24,10.73,17.46,0.962,0,Rising,318000
Downtown,2156,6787,3,2,2.5,0,0,2,0,1979,45,0,6,4,5.2,3.41,2.0,2.43,1.75,1.165,332,Stable,645900
Industrial,899,3308,1,1,2.0,0,0,0,0,1964,60,0,8,1,2.2,7.3,13.18,6.95,9.7,1.099,106,Stable,259100
Suburbs,738,8265,1,1,1.0,0,0,3,0,2005,19,1,8,5,5.9,3.05,7.23,3.47,5.93,1.015,0,Stable,447800
Industrial,958,6751,2,1,2.0,0,0,2,0,1984,40,0,6,3,3.2,8.37,17.74,7.64,14.84,1.166,0,Stable,312100
Downtown,2122,5994,4,2,3.0,1,1015,3,0,1988,36,0,8,4,5.3,1.48,1.9,1.88,5.03,1.206,553,Stable,728500
Rural,4056,11745,8,5,1.0,1,1428,2,0,1973,51,1,9,3,3.6,4.32,21.06,9.26,14.64,0.889,0,Stable,854700
Industrial,2227,8582,2,2,2.0,0,0,2,0,1957,67,0,6,1,2.3,7.33,12.57,6.05,10.86,1.014,106,Stable,484400
Suburbs,1903,7646,2,1,3.0,1,1046,0,0,1992,32,0,7,4,4.9,3.63,11.72,4.79,9.0,1.168,0,Rising,615900
Rural,1734,9174,4,2,2.0,1,987,2,0,1991,33,0,7,1,2.3,7.12,20.89,10.3,15.39,1.01,0,Rising,526800
Rural,2786,7669,3,2,2.0,0,0,2,0,1990,34,0,9,2,2.1,6.83,54.37,15.0,30.0,0.962,0,Rising,568200
Suburbs,3770,5851,8,5,1.0,0,0,2,1,1996,28,1,8,4,5.2,6.22,17.1,7.2,12.94,1.281,0,Rising,900400
Rural,4435,8931,8,5,1.5,0,0,2,0,1975,49,1,8,2,3.0,6.74,40.12,15.0,29.01,1.079,0,Rising,982300
Rural,2751,3472,5,3,1.0,1,964,1,1,2001,23,0,9,3,3.4,7.52,27.18,11.18,20.04,0.976,106,Rising,639800
Industrial,1837,3924,2,1,2.0,0,0,3,1,1971,53,1,8,1,3.4,6.06,22.68,9.29,14.21,1.015,0,Rising,462600
Downtown,4335,7087,7,4,1.0,1,734,3,0,1954,70,0,5,4,5.5,3.77,1.1,0.75,4.64,1.147,245,Stable,1016600
Suburbs,3434,7443,7,4,2.5,1,1080,0,0,1964,60,1,7,3,4.5,3.83,5.04,2.14,3.83,1.248,0,Stable,829500
Industrial,4860,10867,8,5,2.5,1,783,3,0,1985,39,0,9,2,3.6,6.49,13.9,6.06,11.0,1.185,106,Rising,1077300
Industrial,1598,6681,2,2,2.0,1,683,1,0,2012,12,0,9,1,2.3,6.0,19.24,8.24,14.61,1.086,0,Stable,395300
Suburbs,3167,10573,6,4,1.0,0,0,2,0,1998,26,0,9,3,4.1,6.02,14.47,6.79,13.14,1.084,0,Stable,738700
Rural,1907,6262,3,2,1.0,1,1320,1,0,2004,20,0,9,3,3.5,6.24,37.45,15.0,23.52,0.929,0,Rising,577900
Suburbs,1256,6129,2,1,2.0,0,0,3,0,2021,3,0,9,2,4.5,3.22,6.32,3.48,8.17,1.16,0,Declining,412600
Suburbs,3260,7876,5,3,2.0,0,0,1,0,2009,15,0,9,3,4.1,4.98,12.58,6.26,12.22,0.989,106,Rising,802200
Suburbs,2811,8565,5,3,2.0,1,622,2,0,2006,18,0,10,3,4.7,3.64,13.47,5.85,8.53,1.241,106,Stable,711800
Suburbs,2509,6188,4,3,1.0,1,1147,2,0,1978,46,0,7,4,5.2,3.21,11.79,4.99,11.5,1.217,0,Declining,596500
Rural,4330,10663,6,4,2.0,0,0,1,0,1968,56,0,6,2,2.2,9.73,40.68,15.0,25.7,1.01,0,Stable,785200
Downtown,2646,7864,5,3,2.0,1,658,2,0,2022,2,0,8,4,4.8,1.47,2.8,2.39,2.09,1.196,330,Stable,802300
Industrial,3762,5371,5,3,2.0,1,331,1,0,1959,65,0,5,2,2.3,9.32,22.61,9.17,18.36,0.964,0,Declining,591100
Industrial,1740,3634,3,2,2.0,1,476,2,0,1959,65,0,6,2,1.6,6.11,17.7,9.0,12.58,1.131,0,Rising,439300
Rural,866,5730,2,1,2.0,0,0,3,0,2006,18,0,8,2,2.1,7.0,44.32,15.0,29.71,0.984,0,Rising,344000
Suburbs,2445,7842,3,2,1.0,0,0,2,0,2003,21,1,10,2,4.7,4.04,7.13,3.16,7.04,1.03,0,Stable,610400
Suburbs,2308,9869,4,2,1.0,0,0,3,0,2005,19,1,9,4,5.4,5.05,15.4,8.1,10.31,1.072,0,Declining,618100
Waterfront,4230,11882,7,4,2.0,1,567,2,0,2017,7,0,10,5,6.6,0.84,4.25,2.43,5.9,1.349,232,Stable,989400
Rural,3811,4537,6,3,1.0,1,896,1,1,2018,6,0,8,2,2.9,4.45,52.93,15.0,30.0,0.929,0,Declining,615800
Suburbs,2893,9760,6,4,2.0,1,1311,2,1,2004,20,0,8,2,5.6,5.09,16.98,7.0,11.2,1.27,0,Rising,832300
Industrial,4332,7192,7,4,2.0,0,0,0,0,2018,6,0,9,2,3.5,4.95,24.08,9.95,19.17,0.955,106,Stable,700500
Waterfront,4429,11952,7,4,3.0,1,432,3,0,2021,3,0,10,5,6.3,1.1,10.01,5.32,10.77,1.071,424,Declining,1002800
Industrial,2110,9817,3,2,2.0,0,0,1,0,1950,74,0,4,2,2.1,6.98,14.41,5.81,11.06,1.05,0,Rising,450100
Rural,1075,3447,2,1,1.0,0,0,3,0,1961,63,0,6,2,4.1,4.7,23.34,9.37,14.85,0.998,0,Declining,260800
Rural,1576,6742,2,1,1.0,1,1281,0,0,1984,40,0,9,2,4.1,4.85,57.18,15.0,30.0,1.062,0,Rising,472200
Suburbs,1807,2286,4,2,2.5,0,0,2,0,2023,1,0,10,4,4.8,3.67,17.04,7.15,14.61,1.088,106,Declining,508300
Industrial,2560,5724,4,3,1.0,0,0,1,0,1982,42,1,9,1,3.2,4.46,24.76,11.74,15.21,1.098,0,Declining,468200
Industrial,1157,5334,3,2,2.0,0,0,0,0,1974,50,1,9,1,1.8,5.4,20.73,9.14,13.08,1.02,0,Rising,361900
Downtown,1482,4351,2,2,2.0,0,0,2,0,1965,59,0,7,4,4.2,4.52,0.89,2.1,5.01,1.442,392,Stable,458000
Downtown,2794,5887,4,2,1.0,1,1448,1,0,1957,67,0,7,5,5.0,4.06,2.06,1.66,3.31,1.296,382,Stable,714600
Suburbs,3267,9455,5,3,1.0,1,509,2,0,1984,40,1,10,4,4.8,6.88,10.15,5.12,6.51,1.127,0,Rising,870000
Waterfront,2210,4161,4,3,2.0,0,0,2,0,1995,29,0,8,4,5.9,3.21,13.23,5.93,8.63,1.164,356,Rising,708200
Industrial,4088,8269,7,4,2.5,1,456,1,0,1960,64,0,6,1,3.0,8.65,12.59,6.35,11.97,0.833,0,Rising,773600
Suburbs,3054,8023,7,5,1.0,1,1174,3,0,2010,14,0,8,5,3.6,3.66,13.23,5.93,10.39,1.137,0,Stable,766600
Rural,2546,7993,6,4,3.0,1,681,2,0,1993,31,0,9,2,2.0,6.03,29.78,12.36,18.68,1.016,0,Stable,646900
Suburbs,3408,5969,6,4,2.0,0,0,2,0,1960,64,0,5,4,5.2,4.66,17.99,7.36,15.26,1.309,0,Declining,689100
Industrial,4425,9052,8,4,3.0,1,1273,2,0,1960,64,1,7,2,1.3,4.81,16.28,6.63,13.99,0.934,0,Rising,955000
Waterfront,4136,9605,7,5,1.0,1,894,2,0,1971,53,0,8,5,5.8,3.15,8.36,3.96,5.13,1.351,384,Stable,1037600
Waterfront,4402,10737,6,3,1.0,0,0,1,0,2011,13,0,10,4,6.0,1.75,13.39,6.83,10.94,1.239,258,Rising,1147300
Suburbs,4777,10550,8,5,2.5,1,533,1,0,1997,27,1,9,3,4.2,3.62,5.64,2.67,4.61,1.339,0,Stable,1028500
Suburbs,2570,6901,5,3,2.5,1,871,2,0,2012,12,0,8,3,5.1,5.36,10.69,4.87,9.08,0.993,0,Declining,615000
Suburbs,4422,6330,8,4,1.5,1,1070,2,0,2000,24,0,9,4,3.2,2.3,17.11,8.65,11.66,1.285,106,Rising,1033900
Downtown,3419,9158,6,4,2.0,0,0,2,0,1994,30,0,7,3,6.9,2.98,1.55,1.9,2.51,1.175,264,Rising,826100
Industrial,1502,8891,1,1,2.5,0,0,2,0,1982,42,1,9,2,2.1,7.62,9.45,5.62,8.68,1.064,0,Stable,460700
Waterfront,964,7513,1,1,1.0,0,0,2,0,2009,15,0,9,5,5.9,1.86,8.53,5.23,7.81,1.407,306,Rising,494700
Industrial,4858,7744,7,4,2.0,1,301,0,0,1951,73,0,6,2,4.2,7.13,11.9,4.89,9.12,0.94,106,Rising,873600
Industrial,3719,6814,7,4,2.5,0,0,1,0,1962,62,0,5,2,1.4,7.19,17.33,8.84,10.94,0.865,0,Rising,655300
Rural,3158,8833,5,3,1.5,1,720,2,0,2015,9,0,9,1,2.3,7.33,25.34,10.24,20.05,0.906,0,Rising,725200
Waterfront,2463,7198,4,2,1.0,1,1466,0,0,2006,18,0,10,4,7.0,2.28,6.73,4.54,4.91,1.165,195,Stable,751700
Industrial,715,3691,2,1,2.0,0,0,1,0,1992,32,1,8,2,1.2,5.58,24.01,10.7,17.57,0.732,0,Declining,247800
Waterfront,2984,4303,7,4,1.0,0,0,0,1,1994,30,1,7,5,6.3,1.81,7.84,4.2,5.12,1.227,531,Stable,756300
Suburbs,4535,7723,8,5,1.0,1,1259,3,0,1980,44,0,8,3,4.2,3.75,11.1,5.87,10.1,1.215,0,Rising,1044600
Suburbs,3090,7549,5,3,3.0,1,1293,2,0,1959,65,1,6,4,3.5,3.21,14.22,7.45,9.01,1.175,0,Rising,802500
Downtown,1542,5985,2,2,2.0,0,0,0,0,1972,52,0,8,4,6.0,3.14,0.86,1.58,1.66,1.187,122,Declining,463300
Industrial,2324,10221,5,3,2.5,1,1178,0,0,1978,46,0,7,3,2.7,7.25,20.52,9.06,15.55,0.886,0,Declining,482100
Rural,2934,9571,5,3,2.5,1,991,2,0,1980,44,1,8,3,3.0,6.36,22.23,9.12,14.75,0.968,0,Rising,828200
Suburbs,3367,3761,7,4,1.0,1,1166,2,0,2023,1,0,10,3,6.1,3.09,16.19,8.05,12.38,1.178,0,Declining,739100
Rural,1737,2599,4,2,1.0,1,1360,2,0,1967,57,1,10,3,2.5,6.41,26.32,10.78,16.41,1.108,0,Declining,510800
Rural,3127,3806,5,3,1.0,0,0,3,0,1960,64,0,6,3,3.6,7.8,59.03,15.0,30.0,0.875,0,Rising,576700
Suburbs,4717,9135,7,4,1.0,1,1420,2,1,1996,28,1,10,3,4.9,4.52,7.02,3.86,7.88,1.166,0,Stable,911100
Downtown,4020,5643,7,3,2.0,1,580,1,0,1952,72,0,7,4,6.3,4.2,1.02,1.18,0.79,1.252,416,Stable,833800
Rural,4506,11548,7,4,2.0,0,0,2,0,1951,73,0,5,2,2.6,6.38,48.21,15.0,29.49,0.931,0,Rising,832000
Suburbs,4237,9497,7,4,2.0,1,848,3,0,2003,21,0,9,3,3.7,3.4,19.89,9.5,13.01,1.205,0,Rising,996300
Waterfront,3553,11372,7,5,1.0,0,0,2,0,2021,3,0,10,4,5.5,3.53,4.87,3.83,3.02,1.343,512,Rising,986400
Suburbs,2967,5875,4,3,1.5,1,487,2,0,1980,44,0,6,3,4.6,2.48,15.06,6.55,9.51,1.093,0,Declining,632500
Industrial,4821,8196,8,5,2.0,1,1051,1,0,1957,67,1,10,2,2.8,6.41,22.78,11.01,15.07,0.888,0,Stable,883800
Rural,876,6950,2,1,2.0,0,0,2,0,1992,32,0,7,2,3.0,6.08,54.59,15.0,30.0,1.241,0,Rising,280900
Rural,2599,8380,5,3,1.0,0,0,2,0,1997,27,1,9,3,3.2,7.03,42.07,15.0,29.57,1.105,0,Stable,550200
Industrial,1827,5841,2,1,2.0,1,1158,3,0,1951,73,0,5,2,3.5,8.61,8.58,5.19,5.48,0.993,0,Rising,530400
Suburbs,4352,6566,8,5,1.0,0,0,2,0,1971,53,0,7,4,4.6,5.18,9.16,5.05,9.8,1.083,0,Stable,904400
Downtown,4335,8324,8,6,1.5,1,709,2,0,1954,70,1,6,4,5.3,3.81,1.62,0.73,5.09,1.148,566,Stable,918800
Downtown,1295,6300,2,2,2.0,0,0,1,0,1956,68,1,7,4,6.0,3.95,0.78,1.46,0.97,1.282,284,Stable,533200
Waterfront,1909,4552,3,1,1.0,1,923,1,0,1969,55,0,6,5,4.8,3.7,4.75,3.39,2.98,1.168,533,Rising,649500
Rural,4752,5863,8,6,2.0,0,0,2,0,1951,73,1,7,2,1.8,4.88,20.74,10.18,12.69,0.938,106,Rising,844400
Rural,3834,9490,6,3,1.0,1,1067,1,0,1981,43,0,8,1,2.9,8.9,45.24,15.0,30.0,1.012,0,Stable,727900
Suburbs,4714,12062,7,4,1.0,0,0,2,0,1952,72,0,5,4,4.0,5.5,9.53,5.4,9.07,1.214,0,Stable,929100
Downtown,2911,10877,5,3,1.0,1,483,1,1,1990,34,0,9,4,5.2,2.7,1.17,1.88,3.81,1.401,156,Stable,731400
Downtown,3441,6854,6,3,3.0,1,704,2,0,1991,33,1,10,3,6.3,3.36,0.85,0.9,3.22,1.249,401,Stable,784900
Suburbs,4808,7372,8,4,2.0,1,1098,2,0,1994,30,1,8,3,5.0,2.59,8.91,3.87,6.22,1.068,106,Stable,1044400
Rural,4159,10189,7,5,3.0,1,1454,2,0,2020,4,0,9,2,2.9,5.94,46.37,15.0,30.0,0.998,0,Stable,838100
Suburbs,3998,7827,7,4,2.0,1,778,1,1,1966,58,1,7,2,4.7,3.76,10.14,4.52,7.72,1.28,0,Declining,902900
Suburbs,1141,7260,3,2,2.0,0,0,2,0,1996,28,1,8,4,4.4,3.66,5.77,2.8,8.39,1.27,0,Rising,581900
Industrial,3294,11188,5,3,1.5,1,1004,3,0,2018,6,0,8,1,2.9,8.06,15.07,7.32,10.97,1.1,106,Declining,692300
Suburbs,1688,7563,3,2,1.0,0,0,2,1,1973,51,1,8,4,5.2,4.29,14.58,7.41,10.06,1.251,0,Rising,634700
Suburbs,3963,7635,8,6,1.0,1,830,0,1,2020,4,0,8,3,5.4,2.73,17.21,8.05,14.8,1.341,106,Stable,821100
Waterfront,624,1504,1,1,1.0,0,0,0,0,1983,41,0,7,6,6.7,1.09,11.04,6.19,9.46,1.271,113,Stable,329800
Suburbs,2172,7801,4,2,2.0,1,988,1,1,1999,25,1,10,3,4.7,1.81,16.19,6.9,13.32,1.225,0,Rising,726700
Rural,3558,10396,5,3,1.0,0,0,1,0,1991,33,0,9,2,2.5,7.31,50.09,15.0,30.0,0.944,0,Declining,542200
Industrial,4836,9687,8,5,1.0,1,852,2,0,1982,42,0,6,2,2.2,6.81,17.36,8.22,14.85,0.998,0,Rising,966400
Industrial,2367,3176,4,3,1.0,0,0,2,0,1976,48,0,7,1,2.4,7.99,22.83,10.79,18.29,1.002,0,Stable,413400
Downtown,2835,5191,5,3,1.5,0,0,1,1,2008,16,1,10,4,5.2,6.68,2.8,2.2,3.86,1.304,126,Stable,739400
Industrial,800,4866,3,1,2.0,0,0,1,0,1968,56,0,6,2,3.5,6.0,15.43,6.19,10.46,0.912,0,Rising,285000
Suburbs,3798,4369,5,3,2.5,1,495,1,0,1952,72,0,5,3,5.8,4.56,15.17,7.42,12.34,0.993,0,Declining,729400
Suburbs,856,8054,2,1,1.0,0,0,3,1,2020,4,0,9,3,4.6,5.9,8.56,5.05,9.91,1.092,0,Stable,457000
Suburbs,4347,5162,7,4,1.0,0,0,2,0,1974,50,0,7,4,5.4,3.58,9.85,4.49,9.02,1.256,0,Declining,760500
Industrial,2841,9952,5,3,1.5,0,0,2,0,1964,60,1,9,2,2.7,6.68,15.77,6.42,14.23,0.954,0,Stable,549500
Suburbs,3775,9985,8,5,3.0,0,0,2,0,2009,15,0,10,3,4.3,4.8,16.96,7.82,11.9,1.197,0,Stable,850600
Suburbs,4206,6659,7,4,1.0,1,1488,2,0,1972,52,0,8,5,5.0,7.22,7.57,3.11,9.12,1.09,0,Rising,873800
Rural,3936,9078,6,4,2.0,1,343,2,0,1960,64,0,5,3,2.5,7.01,20.99,9.23,13.16,1.129,0,Stable,803300
Suburbs,1013,5351,1,1,2.0,0,0,1,1,2008,16,0,9,4,4.1,3.16,5.77,2.34,5.26,1.139,0,Rising,491600
Downtown,2614,3678,4,2,1.0,1,480,2,0,1983,41,1,9,5,6.0,2.05,1.98,1.24,3.66,1.213,179,Stable,746800
Downtown,1981,3449,3,3,1.0,1,1400,2,0,1956,68,0,5,3,6.0,2.33,1.62,1.43,4.24,1.358,518,Rising,616600
Downtown,1698,9352,3,3,1.0,1,673,1,0,1993,31,1,9,4,7.6,0.73,1.15,0.68,2.16,1.383,374,Rising,723900
Suburbs,4026,9700,8,5,2.5,1,927,1,0,2013,11,0,10,3,4.6,3.98,6.7,2.91,8.64,1.285,0,Rising,948500
Downtown,4255,5239,8,5,2.0,0,0,2,0,1972,52,0,7,4,5.3,2.93,1.42,2.22,5.37,1.192,193,Declining,831900
Rural,1509,6280,4,3,2.0,1,366,2,0,2007,17,1,10,2,3.6,6.31,59.31,15.0,30.0,0.966,0,Stable,399500
Suburbs,787,5165,3,2,2.0,0,0,2,0,1969,55,0,5,2,4.6,2.43,17.4,8.34,11.01,1.059,106,Stable,348800
Suburbs,4644,10073,8,5,2.0,0,0,3,1,1976,48,0,7,4,4.2,4.58,8.39,4.98,5.43,1.001,0,Declining,810200
Industrial,4356,6793,8,5,2.0,1,950,0,0,2009,15,0,9,2,1.9,5.9,22.56,9.29,16.03,0.882,106,Stable,797700
Suburbs,2615,6869,5,3,1.0,1,640,1,0,1957,67,1,7,2,4.5,3.88,14.05,6.01,12.26,1.065,0,Rising,609100
Rural,2692,7787,5,3,1.0,0,0,1,1,2016,8,0,10,3,3.7,5.36,45.34,15.0,27.82,0.899,0,Stable,656000
Suburbs,4244,5379,7,4,1.0,1,697,2,0,1951,73,0,6,3,5.0,5.55,9.42,4.4,8.86,0.998,0,Declining,788800
Suburbs,2730,6910,4,2,2.0,1,1002,2,0,1971,53,0,7,3,4.1,3.34,14.04,6.57,11.06,1.02,106,Rising,730400
Downtown,957,7551,1,1,1.0,0,0,2,1,2019,5,0,9,4,7.0,4.53,1.15,2.13,4.32,1.22,248,Stable,526000
Suburbs,3022,5560,5,3,2.0,1,748,1,0,1985,39,0,9,2,4.0,4.33,10.21,4.36,8.3,1.194,106,Stable,630300
Suburbs,4857,10821,8,4,1.0,1,376,2,0,1973,51,1,8,2,4.2,4.67,12.88,6.39,11.19,1.185,0,Rising,982100
Suburbs,2097,9665,4,2,3.0,1,1195,3,0,1961,63,0,5,4,5.5,4.27,7.2,4.76,5.12,1.098,0,Declining,641800
Downtown,2758,3283,4,3,1.0,0,0,3,0,1971,53,0,7,4,6.7,1.89,1.53,0.73,1.99,1.19,332,Rising,738200
Downtown,3155,4889,5,3,1.0,0,0,3,0,2022,2,0,10,4,5.9,3.4,1.51,0.72,5.42,1.262,304,Rising,782300
Suburbs,2942,6622,5,3,3.0,0,0,2,0,1972,52,0,5,4,3.8,3.65,9.5,4.91,7.35,1.169,0,Declining,646000
Suburbs,3551,11525,6,4,1.5,1,1321,3,0,2023,1,0,9,2,4.7,4.55,9.18,5.59,10.44,1.206,106,Stable,902300
Suburbs,1838,5899,3,2,3.0,1,434,1,0,2012,12,0,9,3,3.7,4.89,19.6,8.28,11.99,1.054,0,Rising,596500
Suburbs,1573,3758,3,2,1.0,1,953,1,0,1979,45,1,8,3,6.4,6.46,15.92,7.03,12.03,1.323,106,Rising,573000
Rural,4565,10825,7,5,1.0,1,945,0,0,1968,56,0,5,3,3.2,6.82,58.56,15.0,30.0,1.088,0,Declining,710200
Downtown,1650,6782,4,3,2.0,0,0,2,0,1975,49,0,7,4,6.2,4.06,1.49,1.32,5.87,1.299,329,Rising,601300
Waterfront,4301,9104,8,5,3.0,0,0,3,0,1960,64,1,9,5,5.7,3.29,10.94,4.46,11.51,1.144,140,Stable,850300
Rural,3380,6358,6,4,1.0,0,0,1,0,1969,55,1,6,2,4.3,5.98,40.79,15.0,25.65,0.917,0,Rising,646700
Downtown,2188,10156,4,2,3.0,1,1369,2,0,2005,19,0,10,4,5.3,3.73,1.12,1.56,2.01,1.155,252,Declining,686200
Industrial,4478,10893,8,5,2.0,1,947,2,0,1994,30,1,8,1,1.7,6.93,22.24,10.85,17.09,1.049,0,Stable,910500
Industrial,2968,4438,4,2,2.5,1,1091,3,0,2017,7,0,9,2,2.5,6.59,19.26,9.34,16.0,0.859,0,Stable,665200
Downtown,1036,1876,3,1,1.5,0,0,2,0,1996,28,0,8,5,6.3,1.61,0.52,1.85,3.63,1.27,175,Stable,430500
Suburbs,3428,10711,5,4,1.0,1,1327,3,1,2007,17,1,9,3,6.2,4.95,11.19,4.93,11.04,1.296,0,Declining,799800
Waterfront,2156,8330,3,2,3.0,1,300,1,0,1959,65,1,7,5,7.1,1.82,10.75,4.47,6.77,1.179,350,Declining,678900
Rural,4458,9361,8,5,3.0,1,408,1,0,1971,53,1,7,2,3.8,7.0,47.49,15.0,30.0,0.931,0,Stable,806400
Suburbs,1904,9858,1,1,2.0,1,759,2,0,2020,4,0,9,3,4.2,4.17,9.58,4.87,9.25,1.077,0,Stable,603300
Suburbs,2984,9238,5,3,1.0,1,565,2,0,1973,51,0,7,3,4.2,3.83,14.59,6.87,9.71,1.134,0,Rising,799100
Suburbs,782,5060,2,1,1.0,0,0,0,0,2015,9,0,7,4,4.1,3.13,13.69,5.69,12.1,1.245,106,Rising,372200
Suburbs,2189,7050,2,1,2.0,1,343,2,0,2010,14,0,9,4,4.6,5.73,18.03,8.2,15.54,1.251,0,Stable,579500
Rural,2187,3754,5,3,1.0,1,1185,2,1,1956,68,0,6,2,1.7,5.78,55.82,15.0,30.0,1.105,0,Stable,477300
Suburbs,1259,5501,2,1,1.5,0,0,2,0,2021,3,0,8,3,5.6,6.07,19.48,8.64,12.91,0.956,106,Declining,386900
Suburbs,759,7156,1,1,1.0,0,0,1,0,1987,37,0,7,3,3.9,3.18,13.96,5.71,10.0,1.131,0,Rising,380800
Rural,4553,10602,7,5,2.0,1,561,2,1,1970,54,1,9,2,2.2,8.06,57.27,15.0,30.0,0.937,0,Stable,750300
Downtown,1611,4386,3,1,1.0,1,1027,2,0,1957,67,1,9,4,5.4,3.02,2.73,1.12,2.43,1.265,528,Stable,569400
Suburbs,652,7606,2,1,2.0,0,0,0,0,1977,47,0,9,3,3.7,5.2,17.6,8.92,15.33,1.24,0,Stable,351700
Rural,2907,6710,5,3,2.0,0,0,2,1,2003,21,0,9,3,3.5,4.69,46.11,15.0,28.47,0.975,0,Rising,682000
Industrial,1828,3609,3,1,2.0,0,0,1,0,1980,44,1,7,1,1.7,5.52,11.75,6.21,10.86,1.167,0,Stable,429000
Suburbs,1635,3821,2,1,1.5,1,1315,0,0,1990,34,0,5,4,5.0,4.48,9.1,5.61,7.17,1.059,0,Rising,578000
Suburbs,4302,6742,7,4,1.0,0,0,2,1,1986,38,1,8,5,5.3,2.95,18.16,7.37,13.76,1.203,0,Stable,927300
Downtown,4645,8811,8,5,2.0,0,0,0,0,1987,37,0,7,4,5.3,4.51,1.65,1.94,1.23,1.439,550,Stable,938100
Suburbs,1864,4169,4,3,2.5,0,0,3,1,2000,24,0,8,4,4.2,4.6,17.57,8.73,11.57,1.242,0,Rising,586000
Suburbs,2484,10288,5,4,2.0,0,0,2,0,1986,38,1,8,4,4.1,3.39,7.11,3.1,6.49,1.209,0,Stable,706100
Suburbs,2409,9887,3,2,3.0,1,521,3,0,1980,44,1,9,3,3.9,3.06,9.72,5.06,9.22,1.133,0,Declining,656200
Suburbs,3767,4095,6,4,2.0,0,0,0,0,2011,13,0,8,4,4.4,3.82,11.37,5.34,10.71,1.211,0,Rising,790900
Suburbs,4397,10565,7,4,2.0,1,1230,2,0,1967,57,0,6,3,4.7,3.49,17.58,7.9,10.7,1.095,106,Stable,879900
Downtown,2941,7942,5,3,1.0,1,788,1,0,1955,69,1,7,4,4.7,3.51,0.98,2.22,1.35,1.338,111,Rising,808600
Suburbs,4014,8210,6,3,1.5,1,900,2,0,1958,66,0,5,2,4.2,4.07,9.27,4.79,9.21,1.078,0,Stable,891000
Suburbs,1417,2468,3,2,2.0,0,0,2,0,1960,64,1,7,5,4.8,5.57,15.3,6.31,13.25,1.125,0,Rising,494000
Suburbs,3037,10730,5,3,1.0,0,0,1,0,1951,73,0,6,5,4.7,4.93,6.17,4.34,4.88,1.066,0,Rising,749700
Downtown,1488,5791,1,1,2.0,0,0,3,0,1978,46,0,5,4,3.8,1.88,2.47,1.36,2.63,1.191,189,Stable,508000
Industrial,1267,3543,3,2,1.0,0,0,2,0,2000,24,0,7,2,2.8,6.57,9.7,5.67,6.26,0.929,106,Stable,348100
Rural,3224,8655,5,3,2.0,1,712,0,0,2018,6,0,10,2,3.9,5.21,48.6,15.0,29.91,0.823,0,Rising,722200
Rural,4832,8026,8,4,2.0,0,0,2,0,1972,52,0,6,2,2.6,5.21,42.26,15.0,25.4,1.028,0,Declining,749600
Waterfront,1418,5362,1,1,2.0,0,0,2,1,1956,68,0,7,4,4.8,0.5,5.55,3.57,6.28,1.202,391,Stable,497500
Suburbs,2788,9262,4,2,3.0,1,1473,1,0,2005,19,0,9,4,4.1,5.3,12.92,6.66,12.27,1.019,0,Stable,805300
